Username,Section,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T15,T16,T17,T18,T23,AvgCrtPct
AB14f0141,4,94.2857142857143,88.8888888888889,84.2105263157895,100,95.4545454545455,75,93.9393939393939,77.4193548387097,97.5,100,100,68.5714285714286,86.9565217391304,83.3333333333333,65,71.4285714285714,86.3742674247191
AB14f0144,4,100,100,73.6842105263158,90,77.2727272727273,100,78.7878787878788,93.5483870967742,95,80,86.6666666666667,85.7142857142857,86.9565217391304,88.8888888888889,82.5,57.1428571428571,86.0101514897203
AB14f0092,4,100,100,78.9473684210526,95,95.4545454545455,78.5714285714286,87.8787878787879,58.0645161290323,90,100,93.3333333333333,74.2857142857143,91.304347826087,83.3333333333333,87.5,57.1428571428571,85.6760145235107
AB14f0094,4,91.4285714285714,100,NA,95,86.3636363636364,92.8571428571429,100,87.0967741935484,NA,70,100,14.2857142857143,95.6521739130435,94.4444444444444,77.5,92.8571428571429,85.5346857388031
AB14f0137,4,100,94.4444444444444,76.3157894736842,85,81.8181818181818,89.2857142857143,90.9090909090909,74.1935483870968,85,93.3333333333333,93.3333333333333,80,95.6521739130435,91.6666666666667,67.5,64.2857142857143,85.171124428144
AB14f0138,4,94.2857142857143,100,89.4736842105263,85,95.4545454545455,89.2857142857143,84.8484848484848,80.6451612903226,85,96.6666666666667,73.3333333333333,74.2857142857143,95.6521739130435,88.8888888888889,50,78.5714285714286,85.0869693771489
AB14f0097,4,100,100,78.9473684210526,95,81.8181818181818,92.8571428571429,87.8787878787879,70.9677419354839,97.5,70,66.6666666666667,82.8571428571429,86.9565217391304,86.1111111111111,82.5,71.4285714285714,84.4680772945795
AB14f0103,4,94.2857142857143,100,NA,90,81.8181818181818,75,96.969696969697,74.1935483870968,97.5,93.3333333333333,73.3333333333333,94.2857142857143,91.304347826087,91.6666666666667,47.5,64.2857142857143,84.3650834127693
AB14f0075,4,88.5714285714286,100,89.4736842105263,100,72.7272727272727,75,90.9090909090909,58.0645161290323,90,80,100,82.8571428571429,100,88.8888888888889,72.5,57.1428571428571,84.133430089765
AB14f0105,4,91.4285714285714,100,76.3157894736842,90,81.8181818181818,85.7142857142857,96.969696969697,67.741935483871,82.5,80,93.3333333333333,94.2857142857143,86.9565217391304,83.3333333333333,65,64.2857142857143,83.7301923665948
