Username,Section,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7.8,Ch9,Ch10,Ch11,Ch12,Ch15I,Ch15II,Ch16,Ch17,Ch18,Ch19,Ch20,AvgCrtPct
EF13f0367,5,91.4285714285714,87.0967741935484,65.625,55.5555555555556,46.1538461538462,72.2222222222222,59.2857142857143,90.9090909090909,80.9523809523809,72.7272727272727,100,71.4285714285714,70,82.6086956521739,69.2307692307692,58.974358974359,28.5714285714286,54.1666666666667,69.8298288306762
EF13f0120,5,88.5714285714286,90.3225806451613,NA,55.5555555555556,53.8461538461538,88.8888888888889,67.1428571428571,NA,78.5714285714286,75.7575757575758,NA,57.1428571428571,NA,84.7826086956522,53.8461538461538,NA,71.4285714285714,37.5,69.4889738532526
EF13f0123,5,94.2857142857143,80.6451612903226,68.75,61.1111111111111,65.3846153846154,NA,65,NA,71.4285714285714,66.6666666666667,87.5,68.5714285714286,54.2857142857143,69.5652173913043,88.4615384615385,53.8461538461538,57.1428571428571,37.5,68.1340468666249
EF13f0312,5,82.8571428571429,90.3225806451613,62.5,63.3333333333333,57.6923076923077,48.6111111111111,71.4285714285714,90.9090909090909,71.4285714285714,87.8787878787879,100,37.1428571428571,44.2857142857143,60.8695652173913,42.3076923076923,58.974358974359,85.7142857142857,62.5,67.7086650514654
EF13f0382,5,88.5714285714286,74.1935483870968,21.875,88.8888888888889,NA,66.6666666666667,43.5714285714286,81.8181818181818,90.4761904761905,84.8484848484848,62.5,48.5714285714286,64.2857142857143,69.5652173913043,46.1538461538462,66.6666666666667,85.7142857142857,25,65.2568810006831
EF13f0380,5,42.8571428571429,80.6451612903226,84.375,NA,92.3076923076923,83.3333333333333,86.4285714285714,90.9090909090909,0,51.5151515151515,100,60,60,95.6521739130435,96.1538461538462,5.12820512820513,0,33.3333333333333,62.5081589511608
EF13f0031,5,82.8571428571429,0,75,83.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.2976190476191
EF13f0357,5,85.7142857142857,77.4193548387097,37.5,50,50,NA,NA,63.6363636363636,54.7619047619048,75.7575757575758,75,42.8571428571429,NA,39.1304347826087,61.5384615384615,48.7179487179487,46.4285714285714,45.8333333333333,56.9530251577937
EF13f0052,5,NA,90.3225806451613,12.5,36.1111111111111,50,66.6666666666667,NA,NA,78.5714285714286,39.3939393939394,NA,60,NA,NA,50,NA,NA,NA,53.7295251542563
EF13f0348,5,68.5714285714286,70.9677419354839,12.5,18.8888888888889,NA,NA,25.7142857142857,54.5454545454545,45.2380952380952,42.4242424242424,62.5,8.57142857142857,61.4285714285714,73.9130434782609,46.1538461538462,28.2051282051282,64.2857142857143,NA,45.5938579627219
GH13f0430,4,100,96.7741935483871,93.75,94.4444444444444,92.3076923076923,100,100,100,88.0952380952381,93.9393939393939,100,100,94.2857142857143,100,100,94.8717948717949,100,95.8333333333333,96.9056558236666
GH13f0438,4,100,96.7741935483871,78.125,94.4444444444444,100,100,100,100,97.6190476190476,93.9393939393939,100,85.7142857142857,97.1428571428571,100,100,100,100,87.5,96.1810679115787
GH13f0429,4,100,93.5483870967742,100,83.3333333333333,100,94.4444444444444,97.1428571428571,100,97.6190476190476,96.969696969697,100,82.8571428571429,100,91.304347826087,96.1538461538462,100,100,87.5,95.6040613024016
GH13f0406,4,100,100,87.5,100,92.3076923076923,100,88.5714285714286,100,95.2380952380952,90.9090909090909,87.5,94.2857142857143,97.1428571428571,91.304347826087,100,92.3076923076923,100,95.8333333333333,95.1611251067773
GH13f0401,4,97.1428571428571,90.3225806451613,93.75,94.4444444444444,92.3076923076923,100,94.2857142857143,100,100,78.7878787878788,87.5,100,91.4285714285714,95.6521739130435,96.1538461538462,97.4358974358974,100,95.8333333333333,94.7247216599133
GH13f0442,4,100,100,96.875,94.4444444444444,88.4615384615385,100,85.7142857142857,100,100,96.969696969697,100,85.7142857142857,84.2857142857143,82.6086956521739,100,92.3076923076923,92.8571428571429,95.8333333333333,94.2262127633504
GH13f0441,4,100,100,90.625,94.4444444444444,96.1538461538462,94.4444444444444,82.1428571428571,100,95.2380952380952,93.9393939393939,100,85.7142857142857,100,95.6521739130435,92.3076923076923,87.1794871794872,100,87.5,94.1856511376439
GH13f0399,4,100,90.3225806451613,87.5,83.3333333333333,92.3076923076923,94.4444444444444,90,100,92.8571428571429,96.969696969697,100,77.1428571428572,97.1428571428571,95.6521739130435,92.3076923076923,92.3076923076923,100,91.6666666666667,92.9974905576822
GH13f0448,4,94.2857142857143,93.5483870967742,100,94.4444444444444,100,88.8888888888889,88.5714285714286,100,71.4285714285714,90.9090909090909,100,100,91.4285714285714,95.6521739130435,96.1538461538462,89.7435897435898,85.7142857142857,91.6666666666667,92.9130921802731
GH13f0408,4,97.1428571428571,93.5483870967742,71.875,86.1111111111111,100,94.4444444444444,87.1428571428571,81.8181818181818,85.7142857142857,100,100,88.5714285714286,91.4285714285714,100,88.4615384615385,89.7435897435898,100,100,92.0001251486466
GH13f0398,4,100,100,100,94.4444444444444,92.3076923076923,88.8888888888889,79.2857142857143,81.8181818181818,95.2380952380952,78.7878787878788,100,82.8571428571429,91.4285714285714,95.6521739130435,96.1538461538462,97.4358974358974,92.8571428571429,87.5,91.9253150231411
GH13f0390,4,100,93.5483870967742,78.125,66.6666666666667,84.6153846153846,100,100,100,92.8571428571429,90.9090909090909,100,74.2857142857143,97.1428571428571,95.6521739130435,96.1538461538462,92.3076923076923,100,91.6666666666667,91.8850345897155
GH13f0450,4,100,100,90.625,94.4444444444444,96.1538461538462,91.6666666666667,88.5714285714286,100,95.2380952380952,90.9090909090909,87.5,82.8571428571429,80,91.304347826087,92.3076923076923,94.8717948717949,100,75,91.7471972136827
GH13f0417,4,100,93.5483870967742,75,88.8888888888889,NA,NA,63.5714285714286,100,100,93.9393939393939,100,100,NA,86.9565217391304,92.3076923076923,87.1794871794872,100,NA,91.5279856944854
GH13f0418,4,100,NA,96.875,NA,88.4615384615385,100,90.7142857142857,100,90.4761904761905,100,100,60,80,100,92.3076923076923,84.6153846153846,92.8571428571429,87.5,91.4879521520147
GH13f0135,4,94.2857142857143,87.0967741935484,87.5,88.8888888888889,100,94.4444444444444,90.7142857142857,NA,92.8571428571429,90.9090909090909,100,88.5714285714286,82.8571428571429,95.6521739130435,88.4615384615385,97.4358974358974,85.7142857142857,87.5,91.3464004850854
