"student","semester","section","intro","categorical","quantitative","distributions","normality","scatterplots","regression","randomness","surveys","experiments","probability","proportions","ci_proportions","hyp_proportions","sampling","inference_means","more_intervals","compare_groups","average_score","intro_HANDIN","categorical_HANDIN","quantitative_HANDIN","distributions_HANDIN","normality_HANDIN","scatterplots_HANDIN","regression_HANDIN","randomness_HANDIN","surveys_HANDIN","experiments_HANDIN","probability_HANDIN","proportions_HANDIN","ci_proportions_HANDIN","hyp_proportions_HANDIN","sampling_HANDIN","inference_means_HANDIN","more_intervals_HANDIN","compare_groups_HANDIN"
"AB13f0233","13Fall","13Fall_6",100,100,87.5,94.4444444444444,96.1538461538462,88.8888888888889,94.2857142857143,100,97.6190476190476,90.9090909090909,100,80,95.6521739130435,80.7692307692308,87.1428571428571,84.6153846153846,92.8571428571429,91.6666666666667,92.3613604591865,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0216","13Fall","13Fall_6",91.4285714285714,93.5483870967742,84.375,94.4444444444444,88.4615384615385,100,88.5714285714286,90.9090909090909,88.0952380952381,90.9090909090909,100,77.1428571428572,95.6521739130435,88.4615384615385,97.1428571428571,97.4358974358974,92.8571428571429,100,92.1908476038619,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0235","13Fall","13Fall_6",100,93.5483870967742,90.625,94.4444444444444,88.4615384615385,88.8888888888889,86.4285714285714,100,95.2380952380952,100,100,88.5714285714286,100,76.9230769230769,85.7142857142857,87.1794871794872,100,79.1666666666667,91.9549928118476,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0220","13Fall","13Fall_6",100,100,84.375,88.8888888888889,84.6153846153846,94.4444444444444,75.7142857142857,90.9090909090909,100,93.9393939393939,100,68.5714285714286,95.6521739130435,92.3076923076923,85.7142857142857,97.4358974358974,100,95.8333333333333,91.5778499881761,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0222","13Fall","13Fall_6",100,100,90.625,94.4444444444444,88.4615384615385,94.4444444444444,88.5714285714286,100,97.6190476190476,96.969696969697,100,62.8571428571429,95.6521739130435,73.0769230769231,81.4285714285714,89.7435897435898,100,87.5,91.1885556405484,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0194","13Fall","13Fall_6",100,96.7741935483871,90.625,0,96.1538461538462,83.3333333333333,0,100,0,93.9393939393939,87.5,85.7142857142857,86.9565217391304,96.1538461538462,65.7142857142857,94.8717948717949,0,95.8333333333333,90.9692738929741,100,100,100,0,100,100,0,100,0,100,100,100,100,100,100,100,0,100
"AB13f0234","13Fall","13Fall_6",94.2857142857143,87.0967741935484,81.25,94.4444444444444,84.6153846153846,100,88.5714285714286,100,88.0952380952381,81.8181818181818,100,100,73.9130434782609,100,84.2857142857143,87.1794871794872,100,87.5,90.7253006093001,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0203","13Fall","13Fall_6",100,93.5483870967742,81.25,83.3333333333333,100,83.3333333333333,85,90.9090909090909,92.8571428571429,90.9090909090909,100,77.1428571428572,82.6086956521739,96.1538461538462,100,89.7435897435898,92.8571428571429,91.6666666666667,90.628509814169,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0061","13Fall","13Fall_6",100,100,62.5,94.4444444444444,96.1538461538462,72.2222222222222,92.1428571428571,0,100,90.9090909090909,100,91.4285714285714,95.6521739130435,73.0769230769231,0,94.8717948717949,0,95.8333333333333,90.6156838330751,100,100,100,100,100,100,100,0,100,100,100,100,100,100,0,100,0,100
"AB13f0229","13Fall","13Fall_6",97.1428571428571,100,78.125,83.3333333333333,80.7692307692308,94.4444444444444,80.7142857142857,100,97.6190476190476,81.8181818181818,100,80,91.304347826087,92.3076923076923,100,92.3076923076923,100,79.1666666666667,90.5029322194177,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
