Username,Section,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T15,T16,T17,T18,T19,T20,T21,T22,T23,AvgCrtPct
GHQ14s0437,4,82.8571428571429,100,68.5714285714286,80,66.6666666666667,73.3333333333333,80,60,82.5,73.3333333333333,92.8571428571429,77.1428571428572,69.5652173913043,83.3333333333333,62.5,76,100,100,84.6153846153846,71.4285714285714,79.2352205765249
GHQ14s0421,4,88.5714285714286,100,68.5714285714286,95,61.1111111111111,80,68,60,95,70,92.8571428571429,77.1428571428572,NA,73.3333333333333,72.5,80,78.5714285714286,90.9090909090909,84.6153846153846,64.2857142857143,78.9720484194168
GHQ14s0475,4,100,NA,85.7142857142857,NA,68.5166666666667,46.6666666666667,100,80,97.5,80,92.8571428571429,80,78.2608695652174,76.6666666666667,20,76,85.7142857142857,81.8181818181818,84.6153846153846,85.7142857142857,78.891357555488
GHQ14s0429,4,100,95,80,100,77.7777777777778,60,84,60,NA,NA,88.8888888888889,77.1428571428572,NA,70,NA,68,71.4285714285714,63.6363636363636,92.3076923076923,71.4285714285714,78.7256701631702
GHQ14s0066,4,88.5714285714286,100,74.2857142857143,95,80.5555555555556,93.3333333333333,NA,63.3333333333333,92.5,80,100,51.4285714285714,NA,96.6666666666667,2.5,NA,NA,NA,NA,NA,78.3211233211233
GHQ14s0417,4,91.4285714285714,100,85.7142857142857,95,77.7777777777778,73.3333333333333,80,60,87.5,73.3333333333333,85.7142857142857,80,80.4347826086957,80,50,80,100,36.3636363636364,84.6153846153846,64.2857142857143,78.2750552587509
GHQ14s0503,4,85.7142857142857,85,NA,100,80.5555555555556,30,76,70,90,90,71.4285714285714,NA,78.2608695652174,80,75,NA,NA,72.7272727272727,100,64.2857142857143,78.0607668297886
GHQ14s0119,4,91.4285714285714,90,65.7142857142857,90,88.8888888888889,73.3333333333333,NA,56.6666666666667,90,96.6666666666667,64.2857142857143,77.1428571428572,NA,80,NA,NA,NA,27.2727272727273,92.3076923076923,NA,77.407671693386
GHQ14s0428,4,82.8571428571429,100,85.7142857142857,100,75,93.3333333333333,56,80,92.5,73.3333333333333,92.8571428571429,71.4285714285714,69.5652173913043,66.6666666666667,62.5,76,57.1428571428571,81.8181818181818,69.2307692307692,57.1428571428571,77.1545179458223
GHQ14s0026,4,94.2857142857143,100,NA,80,85.1833333333333,43.3333333333333,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.1337301587302
GHQ14s0464,4,91.4285714285714,100,62.8571428571429,85,83.3333333333333,86.6666666666667,76,30,97.5,100,78.5714285714286,71.4285714285714,78.2608695652174,86.6666666666667,62.5,76,50,90.9090909090909,84.6153846153846,50,77.0868863021037
GHQ14s0120,4,94.2857142857143,85,77.1428571428572,85,72.7777777777778,63.3333333333333,80,53.3333333333333,97.5,76.6666666666667,78.5714285714286,NA,NA,76.6666666666667,50,68,78.5714285714286,100,69.2307692307692,NA,76.8282338576456
GHQ14s0010,4,85.7142857142857,90,51.4285714285714,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.7857142857143
GHQ14s0036,4,91.4285714285714,80,60,85,70.3722222222222,83.3333333333333,84,50,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.5704585537919
GHQ14s0468,4,97.1428571428571,100,74.2857142857143,95,66.6666666666667,73.3333333333333,84,56.6666666666667,NA,NA,100,57.1428571428571,NA,83.3333333333333,NA,68,38.0928571428571,72.7272727272727,84.6153846153846,71.4285714285714,76.4022196553447
